,player,team,team within selected timeframe,position,age,market value,contract expires,matches played,minutes played,goals,xg,assists,xa,duels per 90,"duels won, %",birth country,passport country,foot,height,weight,on loan,successful defensive actions per 90,defensive duels per 90,"defensive duels won, %",aerial duels per 90,"aerial duels won, %",sliding tackles per 90,padj sliding tackles,shots blocked per 90,interceptions per 90,padj interceptions,fouls per 90,yellow cards,yellow cards per 90,red cards,red cards per 90,successful attacking actions per 90,goals per 90,non-penalty goals,non-penalty goals per 90,xg per 90,head goals,head goals per 90,shots,shots per 90,"shots on target, %","goal conversion, %",assists per 90,crosses per 90,"accurate crosses, %",crosses from left flank per 90,"accurate crosses from left flank, %",crosses from right flank per 90,"accurate crosses from right flank, %",crosses to goalie box per 90,dribbles per 90,"successful dribbles, %",offensive duels per 90,"offensive duels won, %",touches in box per 90,progressive runs per 90,accelerations per 90,received passes per 90,received long passes per 90,fouls suffered per 90,passes per 90,"accurate passes, %",forward passes per 90,"accurate forward passes, %",back passes per 90,"accurate back passes, %",lateral passes per 90,"accurate lateral passes, %",short / medium passes per 90,"accurate short / medium passes, %",long passes per 90,"accurate long passes, %","average pass length, m","average long pass length, m",xa per 90,shot assists per 90,second assists per 90,third assists per 90,smart passes per 90,"accurate smart passes, %",key passes per 90,passes to final third per 90,"accurate passes to final third, %",passes to penalty area per 90,"accurate passes to penalty area, %",through passes per 90,"accurate through passes, %",deep completions per 90,deep completed crosses per 90,progressive passes per 90,"accurate progressive passes, %",conceded goals,conceded goals per 90,shots against,shots against per 90,clean sheets,"save rate, %",xg against,xg against per 90,prevented goals,prevented goals per 90,back passes received as gk per 90,exits per 90,aerial duels per 90.1,free kicks per 90,direct free kicks per 90,"direct free kicks on target, %",corners per 90,penalties taken,"penalty conversion, %",duels won per 90,defensive duels won per 90,aerial duels won per 90,accurate crosses per 90,accurate crosses from left flank per 90,accurate crosses from right flank per 90,successful dribbles per 90,offensive duels won per 90,accurate passes per 90,accurate forward passes per 90,accurate back passes per 90,accurate lateral passes per 90,accurate short / medium passes per 90,accurate long passes per 90,accurate smart passes per 90,accurate passes to final third per 90,accurate passes to penalty area per 90,accurate through passes per 90,accurate progressive passes per 90,duels extrp,successful defensive actions extrp,defensive duels extrp,aerial duels extrp,sliding tackles extrp,shots blocked extrp,interceptions extrp,fouls extrp,yellow cards extrp,red cards extrp,successful attacking actions extrp,goals extrp,non-penalty goals extrp,xg extrp,head goals extrp,shots extrp,assists extrp,crosses extrp,crosses from left flank extrp,crosses from right flank extrp,crosses to goalie box extrp,dribbles extrp,offensive duels extrp,touches in box extrp,progressive runs extrp,accelerations extrp,received passes extrp,received long passes extrp,fouls suffered extrp,passes extrp,forward passes extrp,back passes extrp,lateral passes extrp,short / medium passes extrp,long passes extrp,xa extrp,shot assists extrp,second assists extrp,third assists extrp,smart passes extrp,key passes extrp,passes to final third extrp,passes to penalty area extrp,through passes extrp,deep completions extrp,deep completed crosses extrp,progressive passes extrp,conceded goals extrp,shots against extrp,xg against extrp,prevented goals extrp,back passes received as gk extrp,exits extrp,aerial duels.1 extrp,free kicks extrp,direct free kicks extrp,corners extrp,duels won extrp,defensive duels won extrp,aerial duels won extrp,accurate crosses extrp,accurate crosses from left flank extrp,accurate crosses from right flank extrp,successful dribbles extrp,offensive duels won extrp,accurate passes extrp,accurate forward passes extrp,accurate back passes extrp,accurate lateral passes extrp,accurate short / medium passes extrp,accurate long passes extrp,accurate smart passes extrp,accurate passes to final third extrp,accurate passes to penalty area extrp,accurate through passes extrp,accurate progressive passes extrp,position0,position1,position2
0,M. Camara,Olympiacos Piraeus,Olympiacos Piraeus,"RDMF, AMF, LDMF",24,15000000,,22,1914,2,2.69,2,1.69,19.66,49.28,Guinea,Guinea,right,182,75,no,7.24,6.21,50.0,2.4,41.18,0.52,0.85,0.05,3.62,5.98,2.4,6,0.28,0,0.0,2.92,0.09,2,0.09,0.13,0,0.0,35,1.65,25.71,5.714,0.09,1.6,26.47,0.52,18.18,1.08,30.43,0.42,2.87,62.3,7.48,50.31,1.55,1.79,0.75,43.92,0.56,1.46,58.68,85.18,18.76,72.18,8.18,99.43,22.1,89.57,52.1,89.44,5.03,58.88,18.79,36.08,0.08,0.8,0.14,0.09,1.18,24.0,0.28,9.55,74.88,2.82,43.33,1.79,28.95,0.85,0.52,8.61,83.06,0,,0,,0,0.0,0.0,0.0,,,0.47,,,0.0,0.0,0.0,0.0,0,0.0,968.8448000000001,310.5,98.832,42.352000000000004,9.4536,32.8644,178.801,376.3188,4998.3624,1354.0968000000003,813.3374,1979.497,4659.824,296.1664,28.32,715.104,122.19059999999999,51.8205,715.1465999999999,418.10266666666666,153.97066666666666,132.066,51.03999999999999,11.058666666666667,1.0633333333333335,76.98533333333333,51.03999999999999,5.954666666666667,0.0,62.09866666666667,1.914,1.914,2.764666666666667,0.0,35.089999999999996,1.914,34.02666666666667,11.058666666666667,22.968000000000004,8.932,61.035333333333334,159.07466666666667,32.96333333333334,38.06733333333333,15.95,934.032,11.909333333333334,31.049333333333333,1247.928,398.9626666666667,173.96133333333333,469.99333333333334,1107.9933333333333,106.97133333333333,1.7013333333333334,17.013333333333335,2.9773333333333336,1.914,25.094666666666665,5.954666666666667,203.09666666666666,59.971999999999994,38.06733333333333,18.076666666666664,11.058666666666667,183.10599999999997,,,0.0,,9.995333333333333,,,0.0,0.0,0.0,20604.099413333333,6603.3,2101.8271999999997,900.6858666666667,201.04656,698.9162400000001,3802.5012666666667,8003.04648,106298.50704,28797.125280000004,17296.975373333335,42097.302866666665,99098.92373333333,6298.472106666666,602.272,15207.878400000001,2598.5867599999997,1102.0493000000001,15208.78436,Defensive Midfielder,Attacking Midfielder,
1,C. Tzolis,PAOK,PAOK,"LAMF, LWF, LW",19,10000000,2024-06-30,25,1762,6,7.09,3,3.1,23.65,41.47,Greece,Greece,,0,0,no,5.26,5.01,50.0,3.27,31.25,0.31,0.52,0.05,2.45,4.17,1.69,2,0.1,0,0.0,5.16,0.31,6,0.31,0.36,0,0.0,56,2.86,39.29,10.714,0.15,3.06,30.0,2.81,32.73,0.26,0.0,0.51,5.21,50.0,11.39,43.95,5.26,2.2,1.69,22.88,2.15,2.2,30.8,73.63,5.52,57.41,7.25,92.25,10.42,74.02,26.56,79.62,1.43,53.57,17.04,23.75,0.16,1.07,0.05,0.15,1.17,43.48,0.56,2.76,64.81,3.37,53.03,0.77,40.0,1.89,0.87,4.7,78.26,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.05,0.0,0.0,1.53,1,0.0,980.7654999999999,250.5,102.1875,91.8,91.9713,0.0,260.5,500.5905000000001,2267.804,316.90319999999997,668.8125,771.2883999999999,2114.7072,76.6051,50.871599999999994,178.8756,178.71110000000002,30.8,367.82200000000006,463.0144444444444,102.9791111111111,98.08466666666665,64.01933333333334,6.069111111111112,0.978888888888889,47.96555555555556,33.08644444444444,1.957777777777778,0.0,101.02133333333333,6.069111111111112,6.069111111111112,7.047999999999999,0.0,55.992444444444445,2.936666666666667,59.908,55.013555555555556,5.090222222222223,9.984666666666667,102.00022222222222,222.9908888888889,102.9791111111111,43.071111111111115,33.08644444444444,447.93955555555556,42.09222222222222,43.071111111111115,602.9955555555555,108.06933333333333,141.9388888888889,204.00044444444444,519.9857777777778,27.996222222222222,3.132444444444445,20.948222222222224,0.978888888888889,2.936666666666667,22.906,10.963555555555557,54.034666666666666,65.97711111111111,15.07488888888889,37.001999999999995,17.032666666666668,92.01555555555555,,,0.0,,0.978888888888889,,,0.978888888888889,0.0,29.954,19201.20901111111,4904.233333333334,2000.6041666666667,1797.24,1800.5936733333333,0.0,5100.011111111111,9800.449566666668,44398.562755555555,6204.260426666667,13093.8625,15100.112897777777,41401.26762666667,1499.7576244444444,995.9528799999998,3501.9867466666665,3498.766202222223,602.9955555555555,7201.137377777778,Attacking Midfielder,Wing Forward,Wing Back
2,Rúben Semedo,Olympiacos Piraeus,Olympiacos Piraeus,RCB,26,8000000,,22,1994,1,2.21,0,0.0,16.34,63.26,Cape Verde Islands,Cape Verde Islands,right,189,84,no,8.94,5.96,65.91,4.56,70.3,0.41,0.7,0.23,4.6,7.89,1.4,7,0.32,0,0.0,0.86,0.05,1,0.05,0.1,1,0.05,12,0.54,16.67,8.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,72.73,2.57,61.4,0.9,1.72,0.05,45.5,0.59,1.53,60.48,91.64,22.12,84.29,3.39,94.67,30.33,97.02,55.7,94.98,4.78,52.83,21.42,38.78,0.0,0.0,0.0,0.05,0.14,33.33,0.0,6.5,70.83,0.41,0.0,0.45,40.0,0.09,0.0,9.16,78.82,0,,0,,0,0.0,0.0,0.0,,,2.62,,,0.0,0.0,0.0,0.0,0,0.0,1033.6684,392.8236,320.568,0.0,0.0,0.0,72.0027,157.79799999999997,5542.3872,1864.4948000000002,320.9313,2942.6166,5290.386,252.5274,4.6662,460.395,0.0,18.0,721.9911999999999,362.02177777777774,198.07066666666668,132.04711111111112,101.02933333333333,9.083777777777778,5.095777777777778,101.91555555555556,31.017777777777777,7.089777777777778,0.0,19.05377777777778,1.1077777777777778,1.1077777777777778,2.2155555555555555,1.1077777777777778,11.964,0.0,0.0,0.0,0.0,0.0,21.934,56.93977777777778,19.94,38.10755555555556,1.1077777777777778,1008.0777777777778,13.071777777777779,33.898,1339.9679999999998,490.08088888888886,75.10733333333333,671.978,1234.0644444444445,105.90355555555556,0.0,0.0,0.0,1.1077777777777778,3.101777777777778,0.0,144.01111111111112,9.083777777777778,9.97,1.9939999999999998,0.0,202.9448888888889,,,0.0,,58.04755555555556,,,0.0,0.0,0.0,22901.497662222224,8703.225093333334,7102.362133333333,0.0,0.0,0.0,1595.2598200000002,3496.102355555555,122794.66752,41308.91812444445,7110.411246666667,65195.30555999999,117211.44093333333,5594.88484,103.38225333333334,10200.307,0.0,398.8,15996.116142222221,Center Back,,
3,K. Fortounis,Olympiacos Piraeus,Olympiacos Piraeus,"AMF, RAMF",28,8000000,2023-06-30,24,1459,7,5.02,8,7.34,25.11,47.67,Greece,Greece,right,182,69,no,4.44,4.19,61.76,2.53,41.46,0.56,0.95,0.0,1.3,2.23,0.93,2,0.12,0,0.0,6.17,0.43,7,0.43,0.31,0,0.0,42,2.59,40.48,16.667,0.49,3.45,23.21,1.17,0.0,2.28,35.14,0.68,6.35,59.22,14.0,48.46,3.02,3.58,1.79,43.0,2.16,2.78,55.33,81.61,12.52,76.35,12.09,92.35,19.8,80.69,46.7,86.26,5.18,78.57,19.39,43.4,0.45,2.16,0.25,0.12,1.11,50.0,0.74,6.35,76.7,4.32,47.14,1.11,38.89,2.1,0.8,5.92,85.42,0,,0,,0,0.0,0.0,0.0,,,0.25,,,1.91,0.37,50.0,2.84,1,0.0,1196.9937,258.7744,104.8938,80.0745,0.0,80.11919999999999,376.04699999999997,678.44,4515.4812999999995,955.9019999999999,1116.5114999999998,1597.662,4028.3420000000006,406.9925999999999,55.50000000000001,487.045,203.6448,43.1679,505.6864,407.061,71.97733333333335,67.92455555555557,41.014111111111106,9.078222222222223,0.0,21.074444444444445,15.076333333333334,1.9453333333333331,0.0,100.02255555555556,6.970777777777778,6.970777777777778,5.025444444444445,0.0,41.986777777777775,7.943444444444444,55.928333333333335,18.967,36.96133333333333,11.023555555555557,102.94055555555555,226.95555555555555,48.95755555555556,58.03577777777778,29.01788888888889,697.0777777777778,35.016,45.06688888888888,896.9607777777778,202.96311111111112,195.99233333333333,320.98,757.0588888888889,83.97355555555555,7.295000000000001,35.016,4.052777777777778,1.9453333333333331,17.994333333333337,11.996222222222222,102.94055555555555,70.032,17.994333333333337,34.04333333333334,12.96888888888889,95.96977777777778,,,0.0,,4.052777777777778,,,30.96322222222222,5.998111111111111,46.03955555555555,19404.597869999998,4195.020551111112,1700.4450466666665,1298.0966166666667,0.0,1298.8212533333333,6096.1397,10998.266222222222,73200.96907444444,15496.233533333332,18099.89198333333,25899.8762,65303.89975555557,6597.802259999999,899.7166666666668,7895.5406111111115,3301.3084799999997,699.7996233333334,8197.738417777777,Attacking Midfielder,,
4,José Sá,Olympiacos Piraeus,Olympiacos Piraeus,GK,28,7500000,2023-06-30,23,2222,0,0.0,0,0.0,0.93,78.26,Portugal,Portugal,right,192,85,no,1.54,0.08,0.0,0.53,92.31,0.0,0.0,0.0,1.54,2.67,0.04,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.24,83.33,0.0,0.0,0.0,12.52,0.28,0.28,17.66,85.55,9.64,76.47,0.0,0.0,7.29,97.22,12.23,98.01,5.39,57.89,29.56,40.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,64.86,11,0.45,57,2.31,13,80.7,16.36,0.66,5.36,0.217,0.0,1.3,0.53,,,,0.0,0,0.0,72.7818,0.0,48.9243,0.0,0.0,0.0,4.0,19.9992,1510.8129999999999,737.1708,0.0,708.7338,1198.6623000000002,312.02709999999996,0.0,32.400000000000006,0.0,0.0,291.87,22.96066666666667,38.02088888888889,1.975111111111111,13.085111111111113,0.0,0.0,38.02088888888889,0.9875555555555555,0.9875555555555555,0.0,0.9875555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875555555555555,5.925333333333333,0.0,0.0,0.0,309.10488888888887,6.91288888888889,6.91288888888889,436.0057777777777,238.0008888888889,0.0,179.982,301.94511111111115,133.0731111111111,0.0,0.0,0.0,0.0,0.0,0.0,19.998,0.0,0.0,0.0,0.0,111.1,11.11,57.03133333333333,16.294666666666668,5.357488888888889,0.0,32.095555555555556,13.085111111111113,,,0.0,1796.9017733333335,0.0,1207.8866066666667,0.0,0.0,0.0,98.75555555555556,493.75802666666664,37300.29428888889,18199.92797333333,0.0,17497.850039999998,29593.64034,7703.602402222221,0.0,799.9200000000002,0.0,0.0,7205.946,Goalkeeper,,
5,Rúben Vinagre,Famalicão,Olympiacos Piraeus,LB,21,7000000,2024-06-30,2,145,0,0.0,0,0.04,21.72,54.29,Portugal,Portugal,left,167,74,yes,12.41,11.17,61.11,2.48,50.0,0.0,0.0,0.0,5.59,10.8,0.0,0,0.0,0,0.0,3.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.24,50.0,1.24,50.0,0.0,0.0,0.0,2.48,75.0,5.59,44.44,0.0,4.97,1.24,37.24,1.86,0.62,47.79,80.52,13.66,59.09,9.93,93.75,18.0,89.66,44.07,84.51,3.1,40.0,19.16,35.72,0.02,0.62,0.0,0.0,0.62,100.0,0.0,3.72,16.67,2.48,75.0,0.62,0.0,1.24,0.62,3.72,83.33,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.0,0,0.0,1179.1788,682.5987,124.0,62.0,62.0,0.0,186.0,248.41959999999997,3848.0507999999995,807.1694000000001,930.9375,1613.8799999999999,3724.3557,124.0,62.0,62.01240000000001,186.0,0.0,309.9876,34.99333333333333,19.99388888888889,17.996111111111112,3.9955555555555557,0.0,0.0,9.00611111111111,0.0,0.0,0.0,4.9944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,1.9977777777777779,1.9977777777777779,0.0,0.0,3.9955555555555557,9.00611111111111,0.0,8.007222222222222,1.9977777777777779,59.99777777777778,2.9966666666666666,0.9988888888888889,76.995,22.00777777777778,15.998333333333333,29.0,71.00166666666667,4.9944444444444445,0.03222222222222222,0.9988888888888889,0.0,0.0,0.9988888888888889,0.0,5.993333333333333,3.9955555555555557,0.9988888888888889,1.9977777777777779,0.9988888888888889,5.993333333333333,,,0.0,,0.9988888888888889,,,0.0,0.0,0.0,1899.7880666666665,1099.74235,199.77777777777777,99.88888888888889,99.88888888888889,0.0,299.6666666666667,400.2315777777777,6199.637399999999,1300.439588888889,1499.84375,2600.14,6000.35085,199.77777777777777,99.88888888888889,99.90886666666667,299.6666666666667,0.0,499.42446666666666,Full Back,,
6,D. Giannoulis,Norwich City,PAOK,"LB, LWB",25,6000000,2022-06-30,12,1108,0,0.12,2,3.45,18.84,55.6,Greece,Greece,left,178,71,yes,8.61,6.58,56.79,1.71,66.67,0.73,1.26,0.0,4.14,7.12,1.38,4,0.32,0,0.0,3.9,0.0,0,0.0,0.01,0,0.0,3,0.24,33.33,0.0,0.16,4.47,32.73,4.47,32.73,0.0,0.0,0.73,3.33,60.98,6.74,57.83,1.14,2.44,1.46,26.4,2.27,2.6,39.23,75.36,15.19,72.19,5.69,94.29,13.08,73.29,30.87,84.74,4.06,50.0,19.8,28.49,0.28,1.38,0.0,0.0,0.65,50.0,0.89,5.44,59.7,4.63,38.6,0.81,30.0,0.89,1.38,9.5,74.36,0,,0,,0,0.0,0.0,0.0,,,0.57,,,0.0,0.0,0.0,0.0,0,0.0,1047.504,373.6782,114.0057,146.30309999999997,146.30309999999997,0.0,203.0634,389.7742,2956.3727999999996,1096.5661,536.5101000000001,958.6332000000001,2615.9238,202.99999999999997,32.5,324.76800000000003,178.718,24.3,706.42,231.94133333333335,105.99866666666665,81.00711111111112,21.052,8.987111111111112,0.0,50.967999999999996,16.989333333333335,3.9395555555555557,0.0,48.01333333333333,0.0,0.0,0.12311111111111112,0.0,2.9546666666666668,1.9697777777777778,55.03066666666666,55.03066666666666,0.0,8.987111111111112,40.995999999999995,82.9768888888889,14.034666666666665,30.03911111111111,17.974222222222224,325.0133333333333,27.94622222222222,32.00888888888889,482.9648888888888,187.00577777777778,70.05022222222223,161.02933333333334,380.044,49.98311111111111,3.447111111111111,16.989333333333335,0.0,0.0,8.002222222222223,10.956888888888889,66.97244444444445,57.00044444444445,9.972,10.956888888888889,16.989333333333335,116.95555555555555,,,0.0,,7.017333333333332,,,0.0,0.0,0.0,12895.938133333331,4600.39384,1403.53684,1801.1537199999998,1801.1537199999998,0.0,2499.93608,4798.553484444445,36396.234026666665,13499.947097777776,6605.035453333335,11801.83984,32204.92856,2499.155555555555,400.1111111111111,3998.2549333333336,2200.2171555555556,299.16,8696.815111111111,Full Back,Wing Back,
7,D. Pelkas,Fenerbahçe,PAOK,AMF,27,6000000,2023-06-30,4,235,0,0.78,0,0.08,23.36,39.34,Greece,Greece,right,175,73,no,4.98,3.45,22.22,1.53,25.0,0.38,0.6,0.0,3.83,6.0,1.91,1,0.38,0,0.0,4.98,0.0,0,0.0,0.3,0,0.0,9,3.45,44.44,0.0,0.0,2.3,50.0,0.38,100.0,1.91,40.0,0.0,5.36,42.86,11.87,51.61,4.21,2.3,1.53,16.47,1.91,2.68,24.13,69.84,4.98,53.85,5.36,100.0,9.57,68.0,20.3,71.7,1.91,80.0,16.54,33.7,0.03,0.38,0.0,0.0,1.15,0.0,0.77,2.68,57.14,1.91,40.0,1.15,33.33,0.77,0.77,3.83,40.0,0,,0,,0,0.0,0.0,0.0,,,0.38,,,0.38,0.0,0.0,2.68,0,0.0,918.9824000000001,76.659,38.25,114.99999999999999,38.0,76.39999999999999,229.7296,612.6107,1685.2392,268.173,536.0,650.76,1455.5100000000002,152.79999999999998,0.0,153.1352,76.39999999999999,38.329499999999996,153.2,60.99555555555555,13.003333333333336,9.008333333333333,3.995,0.9922222222222222,0.0,10.000555555555556,4.987222222222222,0.9922222222222222,0.0,13.003333333333336,0.0,0.0,0.7833333333333333,0.0,9.008333333333333,0.0,6.0055555555555555,0.9922222222222222,4.987222222222222,0.0,13.995555555555557,30.993888888888886,10.992777777777778,6.0055555555555555,3.995,43.004999999999995,4.987222222222222,6.997777777777778,63.00611111111111,13.003333333333336,13.995555555555557,24.988333333333337,53.00555555555555,4.987222222222222,0.07833333333333334,0.9922222222222222,0.0,0.0,3.0027777777777778,2.010555555555556,6.997777777777778,4.987222222222222,3.0027777777777778,2.010555555555556,2.010555555555556,10.000555555555556,,,0.0,,0.9922222222222222,,,0.9922222222222222,0.0,6.997777777777778,2399.565155555556,200.1651666666667,99.875,300.2777777777777,99.22222222222223,199.48888888888885,599.849511111111,1599.5946055555555,4400.3468,700.2295,1399.5555555555557,1699.2066666666667,3800.498333333334,398.9777777777777,0.0,399.8530222222222,199.48888888888885,100.08258333333332,400.02222222222224,Attacking Midfielder,,
8,K. Lala,Olympiacos Piraeus,Olympiacos Piraeus,RB,29,6000000,2023-06-30,2,190,0,0.0,0,0.0,16.11,47.06,France,"France, Martinique",right,178,78,no,7.11,6.63,64.29,2.37,40.0,0.0,0.0,0.0,2.84,4.74,2.37,0,0.0,0,0.0,0.47,0.0,0,0.0,0.0,0,0.0,1,0.47,0.0,0.0,0.0,1.42,0.0,0.0,0.0,1.42,0.0,0.0,1.42,33.33,3.32,42.86,1.42,0.47,1.42,22.74,1.89,0.95,31.74,85.07,8.53,83.33,4.74,90.0,11.84,84.0,28.89,91.8,1.89,25.0,16.72,17.83,0.0,0.0,0.0,0.0,0.47,0.0,0.0,1.89,75.0,1.89,50.0,0.47,0.0,0.47,0.0,4.26,88.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.47,0.0,0.0,0.0,0,0.0,758.1366,426.2427,94.80000000000001,0.0,0.0,0.0,47.328599999999994,142.2952,2700.1217999999994,710.8049,426.6,994.56,2652.102,47.25,0.0,141.75,94.5,0.0,378.6714,34.01,15.010000000000002,13.996666666666668,5.003333333333334,0.0,0.0,5.995555555555556,5.003333333333334,0.0,0.0,0.9922222222222222,0.0,0.0,0.0,0.0,0.9922222222222222,0.0,2.997777777777778,0.0,2.997777777777778,0.0,2.997777777777778,7.0088888888888885,2.997777777777778,0.9922222222222222,2.997777777777778,48.00666666666666,3.9899999999999998,2.0055555555555555,67.00666666666666,18.007777777777775,10.006666666666668,24.995555555555555,60.99,3.9899999999999998,0.0,0.0,0.0,0.0,0.9922222222222222,0.0,3.9899999999999998,3.9899999999999998,0.9922222222222222,0.9922222222222222,0.0,8.993333333333332,,,0.0,,0.0,,,0.9922222222222222,0.0,0.0,1600.5106,899.8457,200.13333333333338,0.0,0.0,0.0,99.91593333333333,300.40097777777777,5700.257133333332,1500.588122222222,900.6,2099.6266666666666,5598.882,99.75,0.0,299.25,199.5,0.0,799.4174,Full Back,,
9,S. Ingason,PAOK,PAOK,"RCB, RCB3",27,6000000,2022-06-30,21,2037,5,4.34,1,0.83,15.38,60.34,Iceland,Iceland,right,188,83,no,7.38,5.66,64.84,5.39,64.75,0.31,0.52,0.35,3.4,5.68,1.06,7,0.31,0,0.0,0.93,0.22,5,0.22,0.19,2,0.09,15,0.66,60.0,33.333,0.04,0.4,44.44,0.04,100.0,0.35,37.5,0.04,0.8,38.89,1.99,42.22,1.5,1.41,0.31,40.87,0.57,0.84,57.7,89.2,22.4,77.91,3.62,96.34,26.6,98.01,50.54,93.79,6.8,57.79,21.82,37.99,0.04,0.22,0.0,0.09,0.13,33.33,0.18,6.14,71.22,0.53,41.67,0.4,44.44,0.27,0.18,8.39,74.74,0,,0,,0,0.0,0.0,0.0,,,2.78,,,0.0,0.0,0.0,0.0,0,0.0,928.0292000000001,366.99440000000004,349.0025,17.776,4.0,13.125,31.112000000000002,84.0178,5146.84,1745.1839999999997,348.7508,2607.0660000000003,4740.1466,392.972,4.3328999999999995,437.2908,22.0851,17.776,627.0686,348.10066666666665,167.034,128.10466666666667,121.99366666666666,7.016333333333334,7.921666666666666,76.95333333333333,23.991333333333337,7.016333333333334,0.0,21.049,4.979333333333333,4.979333333333333,4.300333333333334,2.037,14.938,0.9053333333333333,9.053333333333335,0.9053333333333333,7.921666666666666,0.9053333333333333,18.10666666666667,45.040333333333336,33.95,31.912999999999997,7.016333333333334,925.0243333333332,12.901,19.012,1305.9433333333334,506.9866666666666,81.93266666666668,602.0466666666667,1143.8886666666667,153.90666666666667,0.9053333333333333,4.979333333333333,0.0,2.037,2.9423333333333335,4.074,138.96866666666665,11.995666666666668,9.053333333333335,6.111,4.074,189.89366666666666,,,0.0,,62.92066666666666,,,0.0,0.0,0.0,21004.39422666667,8306.306586666667,7899.089916666667,402.3301333333333,90.53333333333333,297.0625,704.1682666666667,1901.6028733333333,116490.14533333333,39499.33119999999,7893.393106666668,59006.59380000001,107285.31804666667,8894.266266666666,98.06797,9897.34844,499.85943000000003,402.3301333333333,14192.652646666664,Center Back,,
